"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG","Fdeltamass_R_spearman","Fdeltamass_p","Fdeltamass_adj","sig_Fdeltamass","MdeltaTAG_R_spearman","MdeltaTAG_p","MdeltaTAG_adj","sig_MdeltaTAG","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"Guanosine",0.0300492610837438,0.877210723889557,0.960260259879101,"NS",0.136975770046799,0.513818128324847,0.688814157536932,"NS",0.00394088669950739,0.984720986101056,0.990832247717225,"NS",0.148903435416043,0.47747088780962,0.745129815805896,"NS"
"Histamine",-0.283251231527094,0.136347575307421,0.370945609292247,"NS",-0.46787229319356,0.018346987316882,0.169709632681158,"NS",0.233497536945813,0.22190009789471,0.456127979005792,"NS",-0.205463655070198,0.324482465072638,0.635499519542022,"NS"
"Histidine",0.210344827586207,0.272173214561169,0.48415427590208,"NS",0.276644883886653,0.180664952919042,0.439776530131879,"NS",-0.00886699507389162,0.964358253809065,0.990832247717225,"NS",-0.0580992732501872,0.782657966021294,0.910639771785782,"NS"
"Homoarginine",0.262068965517241,0.169161621241638,0.387274825281324,"NS",0.153905359603145,0.462629738980057,0.643319652872703,"NS",-0.137931034482759,0.473878014724928,0.664147217606907,"NS",-0.115044256303351,0.583969497075583,0.812288398187841,"NS"
"Homocitrulline",-0.498522167487685,0.00650467043087954,0.126623816889955,"NS",-0.175836873346593,0.40048636307084,0.620650309991615,"NS",-0.713793103448276,2.33050483905155e-05,0.00431143395224538,"SIG",-0.156983466795208,0.453617591980892,0.731536698794206,"NS"
"Hydrocinnamic Acid",-0.414778325123153,0.0261431716298926,0.184946679755869,"NS",-0.584840366491951,0.00213663353719176,0.0897204429192552,"NS",0.346305418719212,0.0663370973822482,0.240634568935606,"NS",0.259330530931299,0.210635846020735,0.556551812934764,"NS"
"Hypotaurine",0.235467980295566,0.217937751487415,0.443060264012876,"NS",0.28626396886185,0.165357728740606,0.413394321851514,"NS",0.303940886699507,0.109085997699437,0.315326712099936,"NS",0.198153150489049,0.342364757900179,0.65296371352096,"NS"
"Hypoxanthine",-0.0211822660098522,0.913576577575341,0.967922845121244,"NS",-0.402462515362224,0.046092141865308,0.243629892716628,"NS",-0.249261083743842,0.191562578908478,0.421893774977006,"NS",-0.728741877720891,3.60847443115009e-05,0.00667567769762766,"SIG"
"Imidazoleacetic Acid",0.267487684729064,0.160274235585735,0.387274825281324,"NS",0.215852266843411,0.300067976140727,0.536500972454209,"NS",-0.276847290640394,0.145727386144109,0.364318465360273,"NS",-0.469411346789592,0.0179159370934747,0.24336643616786,"NS"
"IMP",0.485714285714286,0.0082134367712403,0.126623816889955,"NS",0.255482896941221,0.217726104233509,0.466036540642391,"NS",0.462068965517241,0.012378729663915,0.0829744219653177,"NS",0.261254347926338,0.20714983478373,0.556551812934764,"NS"
