"","rowname","colname","p_M_all","R_M_all"
"267","Citraconic Acid","Succinylcarnitine",4.65364463521582e-79,-0.569638290098648
"268","Azelaic Acid","Maleic Acid",9.26368312733537e-79,0.615820241139934
"269","Palmitic Acid","Pyridoxamine",9.94435338194929e-79,0.688856412130069
"270","Cystathionine","S-Adenosylmethionine (SAM)",1.05350587996599e-78,0.616843259042748
"271","Glutaric Acid","n-Glycylproline",1.06735100160852e-78,-0.624296675191816
"272","Ergocalciferol","Succinylcarnitine",1.13959317687994e-78,-0.458275484106686
"273","Choline","Glutaric Acid",1.17067985708303e-78,0.706978443551334
"274","Arginine","Pyridoxamine",1.84942344835534e-78,0.612531969309463
"275","Glycerophosphocholine","Methionine",1.93961229506344e-78,0.532188527584947
"276","N-Ac-Alanine","Taurine",2.0172464947967e-78,0.631019364267446
"277","1/3-Methylhistidine","Ergocalciferol",3.14343405401293e-78,-0.556339057362075
"278","Oxalacetate","Succinylcarnitine",3.38329853036167e-78,-0.521812203142127
"279","Glycerol-3-P","N-Ac-Alanine",3.53064375454899e-78,-0.617135549872123
"280","1/3-Methylhistidine","N-AcetylGlycine",3.69454916859181e-78,-0.561271465107782
"281","Ergocalciferol","Maleic Acid",7.22807458809197e-78,0.483777858969675
"282","S-Adenosylmethionine (SAM)","Urate",8.2747073238344e-78,-0.704165144318597
"283","3-Hydroxyisovaleric Acid","UDP-GlcNAc",1.07138618412456e-77,-0.66083302886372
"284","Cadaverine","Glyceraldehyde",1.21368532469163e-77,-0.661308001461454
"285","Arginine","Retinol",1.60560903114e-77,0.661892583120205
"286","Retinol","Urate",1.77725670432471e-77,0.636719035440263
"287","Maleic Acid","Succinylcarnitine",2.17739301765897e-77,-0.501863354037267
"288","Cholecalciferol","Glutaric Acid",2.6044691671826e-77,0.665655827548411
"289","Hydrocinnamic Acid","Succinylcarnitine",2.61507211674234e-77,-0.424917793204238
"290","3-Hydroxyisovaleric Acid","Succinylcarnitine",2.76460669500079e-77,-0.543551333576909
"291","2-isoPropylmalic Acid","G1P/F1P/F6P",3.59453382925039e-77,-0.690281329923274
"292","FAD","Glycerol-3-P",4.21934666228855e-77,-0.662586773839971
"293","Glutaric Acid","Tryptophan",5.77142664333156e-77,-0.617975886006577
"294","Citraconic Acid","Glycerophosphocholine",1.00162070868375e-76,-0.568249908659116
