"KEGG.id","Entry.type","KEGG.name","p.score"
"R06460","reaction","dTDP-3-dimethylamino-3,4,6-trideoxy-alpha-D-g...",0.00129086608442502
"R06461","reaction","dTDP-3-dimethylamino-3,4,6-trideoxy-alpha-D-g...",0.00129086608442502
"R06473","reaction","5-Oxoavermectin ''1a'' aglycone + NADPH + H+ ...",0.0117899108442504
"R06475","reaction","5-Oxoavermectin ''1b'' aglycone + NADPH + H+ ...",0.0117899108442504
"R06477","reaction","Avermectin B1a aglycone + S-Adenosyl-L-methio...",0.00109088427947598
"R06479","reaction","Avermectin B1b aglycone + S-Adenosyl-L-methio...",0.00109088427947598
"R06488","reaction","Avermectin B1a aglycone + dTDP-L-oleandrose <...",0.00159083879184856
"R06489","reaction","Avermectin B1a monosaccharide + dTDP-L-oleand...",0.00179082059679771
"R06490","reaction","Avermectin A1a aglycone + dTDP-L-oleandrose <...",0.00129086608442502
"R06491","reaction","Avermectin A1a monosaccharide + dTDP-L-oleand...",0.00179082059679771
"R06496","reaction","Avermectin B1b aglycone + dTDP-L-oleandrose <...",0.00159083879184856
"R06497","reaction","Avermectin B1b monosaccharide + dTDP-L-oleand...",0.00179082059679771
"R06498","reaction","Avermectin A1b aglycone + dTDP-L-oleandrose <...",0.00129086608442502
"R06499","reaction","Avermectin A1b monosaccharide + dTDP-L-oleand...",0.00179082059679771
"R06560","reaction","formononetin,[reduced NADPH---hemoprotein red...",0.00209079330422125
"R06564","reaction","S-adenosyl-L-methionine:daidzein 4'-O-methylt...",0.0011908751819505
"R06576","reaction","S-adenosyl-L-methionine:3,4-dihydroxy-trans-c...",0.0011908751819505
"R06578","reaction","S-adenosyl-L-methionine:caffeoyl-CoA 3-O-meth...",0.00229077510917029
"R06612","reaction","5,6-Indolequinone-2-carboxylic acid <=> Eumel...",0.00209079330422125
"R06626","reaction","4-Hydroxyphenylglyoxylate + L-Tyrosine <=> L-...",0.0127898198689957
"R06627","reaction","dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose ...",0.00159083879184856
"R06628","reaction","dTDP-3-amino-2,3,6-trideoxy-C-methyl-D-erythr...",0.00579045669577879
"R06632","reaction","4-hydroxyphenylpyruvate:oxygen oxidoreductase...",0.00329068413391556
"R06633","reaction","(S)-4-hydroxymandelate:oxygen 1-oxidoreductas...",0.000990893377001467
"R06675","reaction","S-adenosyl-L-methionine:nogalonic-acid O-meth...",0.00109088427947598
"R06679","reaction","12-deoxyaklanonic-acid:oxygen oxidoreductase",0.000390947962154261
"R06680","reaction","S-adenosyl-L-methionine:aklanonate O-methyltr...",0.00109088427947598
"R06681","reaction","aklaviketone lyase (ring-opening)",0.00139085698689953
"R06700","reaction","tetracenomycin-F1:oxygen C5-monooxygenase",0.000990893377001467
"R06701","reaction","Tetracenomycin D3 <=> Tetracenomycin B3",0.000990893377001467
"R06702","reaction","Tetracenomycin B3 <=> Tetracenomycin E",0.00109088427947598
